Date of Stop ,Time Of Stop ,Race,Sex,Age,ReasonForStop,ResultsOfSearch,ResultOfStop,Location of Stop ,District
1/3/16,9:41:00,B BLACK,F,47,1 Moving Violation,1 No Search,3 Warning,EAST  TOWNSEND STREET At 5TH STREET,B
1/3/16,10:11:00,W WHITE,F,51,1 Moving Violation,1 No Search,2 Citation,EAST  OFARRELL STREET To W/B MARKET STREET,B
1/3/16,10:24:00,O ALL OTHERS,M,46,1 Moving Violation,1 No Search,2 Citation,WEST  MARKET STREET To N/B GRANT STREET,B
1/4/16,10:22:00,O ALL OTHERS,M,53,1 Moving Violation,1 No Search,2 Citation,SOUTH  MISSION At TRUMBULL,H
1/4/16,10:51:00,O ALL OTHERS,F,27,1 Moving Violation,1 No Search,2 Citation,SOUTH  MISSION 418 feet At TRUMBULL,H
1/4/16,11:07:00,B BLACK,M,42,1 Moving Violation,1 No Search,2 Citation,SOUTH  MISSION At TRUMBULL,H
1/1/16,1:22:00,B BLACK,M,24,1 Moving Violation,1 No Search,2 Citation,NORTH  COLUMBUS To E/B BROADWY,A
1/1/16,1:02:00,W WHITE,M,54,1 Moving Violation,1 No Search,2 Citation,SOUTH  COLUMBUS To E/B BROADWAY,A
1/4/16,9:43:00,H HISPANIC,F,35,1 Moving Violation,1 No Search,2 Citation,NORTH  CHURCH ST At 19TH ST,D
1/4/16,9:53:00,H HISPANIC,M,78,1 Moving Violation,1 No Search,3 Warning,NORTH  CHURCH ST At 19TH ST,D
1/4/16,10:15:00,H HISPANIC,M,39,1 Moving Violation,1 No Search,2 Citation,SOUTH SB MISSION ST 390 feet N of TRUMBULL ST,H
1/4/16,10:56:00,W WHITE,F,40,1 Moving Violation,1 No Search,2 Citation,SOUTH SB MISSION ST 410 feet N of TRUMBULL ST,H
1/4/16,11:09:00,H HISPANIC,F,35,1 Moving Violation,1 No Search,3 Warning,SOUTH SB MISSION ST 415 feet N of TRUMBULL ST,H
1/4/16,10:13:00,A ASIAN,F,41,1 Moving Violation,1 No Search,2 Citation,EAST  BROADWAY At POLK,E
1/4/16,10:56:00,W WHITE,M,57,1 Moving Violation,1 No Search,2 Citation,SOUTH  FRANKLIN At FRANCISCO,E
1/4/16,12:41:00,A ASIAN,M,42,1 Moving Violation,1 No Search,2 Citation,EAST  HOWARD At 6TH ST,B
1/4/16,10:59:00,O ALL OTHERS,M,46,1 Moving Violation,1 No Search,3 Warning,NORTH  6TH STREET To E/B MARKET STREET,J
1/4/16,11:45:00,W WHITE,M,77,1 Moving Violation,1 No Search,3 Warning,EAST  CLAY To S/B SANSOME,A
1/4/16,11:09:00,W WHITE,M,39,1 Moving Violation,1 No Search,2 Citation,SOUTH  TAYLOR To E/B MARKET,J
1/4/16,12:21:00,H HISPANIC,M,42,1 Moving Violation,1 No Search,2 Citation,WEST  980 MARKET,J
1/4/16,11:19:00,A ASIAN,F,48,1 Moving Violation,1 No Search,3 Warning,SOUTH  MASON To W/B MARKET,B
1/4/16,11:25:00,H HISPANIC,M,43,1 Moving Violation,1 No Search,2 Citation,EAST  MISSION At 6TH ST,B
1/4/16,11:36:00,H HISPANIC,M,45,1 Moving Violation,1 No Search,2 Citation,WEST  MARKET At MASON,B
1/4/16,11:59:00,H HISPANIC,M,43,1 Moving Violation,1 No Search,3 Warning,EAST  MISSION At 6TH ST,B
1/4/16,11:09:00,W WHITE,M,29,1 Moving Violation,1 No Search,3 Warning,SOUTH  MASON To W/B MARKET,B
1/4/16,11:04:00,B BLACK,M,25,1 Moving Violation,1 No Search,3 Warning,EAST  MARKET At 6TH,B
1/4/16,11:44:00,W WHITE,F,27,1 Moving Violation,1 No Search,2 Citation,EAST  CLAY To S/B SANSOME,A
1/4/16,11:54:00,W WHITE,M,19,1 Moving Violation,1 No Search,2 Citation,EAST  CLAY To S/B SANSOME,A
1/4/16,12:22:00,A ASIAN,M,30,1 Moving Violation,1 No Search,2 Citation,WEST  HOWARD ST At 4TH ST,B
1/4/16,12:06:00,H HISPANIC,M,49,1 Moving Violation,1 No Search,2 Citation,EAST  CLAY To S/B SANSOME,A
1/4/16,15:47:00,O ALL OTHERS,F,50,1 Moving Violation,1 No Search,2 Citation,2ND ST HARRISON,B
1/4/16,16:01:00,O ALL OTHERS,F,20,1 Moving Violation,1 No Search,2 Citation,2ND ST HARRISON,B
1/4/16,16:14:00,O ALL OTHERS,F,28,1 Moving Violation,1 No Search,2 Citation,2ND ST HARRISON,B
1/4/16,16:34:00,H HISPANIC,F,34,1 Moving Violation,1 No Search,2 Citation,2ND ST HARRISON,B
1/4/16,16:07:00,O ALL OTHERS,M,59,1 Moving Violation,1 No Search,3 Warning,2ND ST HARRISON,B
1/4/16,16:37:00,B BLACK,M,43,1 Moving Violation,1 No Search,2 Citation,WB HARRISON ST AT 7TH ST 738 feet,B
1/4/16,16:52:00,H HISPANIC,M,43,1 Moving Violation,1 No Search,3 Warning,WB HARRISON ST BETWEEN 7TH ST AND 8TH ST 503 feet,B
1/4/16,17:15:00,A ASIAN,M,29,1 Moving Violation,1 No Search,2 Citation,WB HARRISON ST BETWEEN 7TH ST AND 8TH ST 168 feet,B
1/4/16,17:05:00,A ASIAN,M,56,1 Moving Violation,1 No Search,2 Citation,WB HARRISON ST BETWEEN 7TH ST AND 8TH ST 518 feet,B
1/4/16,15:11:00,H HISPANIC,M,30,1 Moving Violation,1 No Search,2 Citation,EAST  BRYANT At 2ND ST,B
1/4/16,15:22:00,B BLACK,M,34,1 Moving Violation,1 No Search,2 Citation,EAST  BRYANT At 2ND ST,B
1/4/16,15:51:00,A ASIAN,F,36,1 Moving Violation,1 No Search,2 Citation,SOUTH  2ND ST To E/B BRYANT,B
1/4/16,16:34:00,W WHITE,M,28,1 Moving Violation,1 No Search,2 Citation,SOUTH  2ND ST To E/B BRYANT,B
1/4/16,16:45:00,W WHITE,M,60,1 Moving Violation,1 No Search,2 Citation,SOUTH  2ND ST To E/B BRYANT,B
1/4/16,16:58:00,B BLACK,F,39,1 Moving Violation,1 No Search,2 Citation,SOUTH  2ND ST To E/B BRYANT,B
1/4/16,17:15:00,O ALL OTHERS,M,53,1 Moving Violation,1 No Search,2 Citation,SOUTH  2ND ST To E/B BRYANT,B
1/4/16,17:29:00,W WHITE,F,60,1 Moving Violation,1 No Search,2 Citation,WEST  BRANNAN To N/B 7TH ST,B
1/4/16,14:55:00,W WHITE,M,60,2 Mechanical or Nonmoving Violation,1 No Search,2 Citation,SB 2ND ST. BRYANT,B
1/4/16,15:16:00,W WHITE,M,30,1 Moving Violation,1 No Search,3 Warning,EB BRYANT 2ND ST.,B
1/4/16,16:00:00,W WHITE,M,58,1 Moving Violation,1 No Search,2 Citation,SB 2ND ST. BRYANT,B
1/4/16,16:57:00,H HISPANIC,M,28,1 Moving Violation,1 No Search,2 Citation,EB BRYANT 2ND ST.,B
1/4/16,14:54:00,O ALL OTHERS,M,64,1 Moving Violation,"2 Search Without Consent, Positive Result",2 Citation,EAST  BRYANT ST At 2ND ST,B
1/4/16,15:15:00,O ALL OTHERS,F,25,1 Moving Violation,1 No Search,2 Citation,EAST  BRYANT ST At 2ND ST,B
1/4/16,15:03:00,O ALL OTHERS,M,26,2 Mechanical or Nonmoving Violation,1 No Search,2 Citation,EAST  BRYANT ST At 2ND ST,B
1/4/16,16:14:00,O ALL OTHERS,M,70,1 Moving Violation,1 No Search,2 Citation,SOUTH  2ND ST To E/B BRYANT ST,B
1/4/16,16:42:00,O ALL OTHERS,M,53,1 Moving Violation,1 No Search,2 Citation,EAST  BRYANT ST At 2ND ST,B
1/4/16,14:53:00,H HISPANIC,M,28,1 Moving Violation,1 No Search,2 Citation,EAST  BRYANT 2ND LN At 2ND ST,B
1/4/16,15:20:00,B BLACK,M,34,1 Moving Violation,1 No Search,2 Citation,EAST  BRYANT 2ND LN At 2ND ST,B
1/4/16,15:49:00,A ASIAN,M,38,1 Moving Violation,1 No Search,2 Citation,SOUTH To E/B,B
1/4/16,16:45:00,W WHITE,M,48,1 Moving Violation,1 No Search,3 Warning,SOUTH  2ND ST To E/B BRYANT ST,B
1/4/16,16:06:00,H HISPANIC,M,41,1 Moving Violation,1 No Search,2 Citation,SOUTH  2ND ST To E/B BRYANT ST,B
1/4/16,17:12:00,W WHITE,M,68,1 Moving Violation,1 No Search,2 Citation,SOUTH  BRYANT ST At 2ND ST,B
1/4/16,17:05:00,O ALL OTHERS,M,33,1 Moving Violation,1 No Search,2 Citation,SOUTH  2ND ST To E/B BRYANT ST,B
1/4/16,14:35:00,B BLACK,M,23,1 Moving Violation,1 No Search,2 Citation,SOUTH  6TH ST LANE 2 At HARRIETT,B
1/4/16,15:17:00,B BLACK,F,31,1 Moving Violation,1 No Search,2 Citation,SOUTH  3RD ST LANE 2 At TERRY A. FRANCOIS,B
1/4/16,15:03:00,W WHITE,F,27,1 Moving Violation,1 No Search,2 Citation,NORTH  3RD ST LANE 1 At TERRY A. FRANCOIS,B
1/4/16,15:49:00,W WHITE,M,50,1 Moving Violation,1 No Search,2 Citation,NORTH  3RD ST At TERRY A. FRANCOIS,B
1/4/16,16:29:00,W WHITE,M,50,1 Moving Violation,1 No Search,2 Citation,NORTH  3RD ST At TERRY A. FRANCOIS,B
1/4/16,16:49:00,O ALL OTHERS,F,45,1 Moving Violation,1 No Search,2 Citation,SOUTH  3RD ST LANE 2 At TERRY A. FRANCOIS,B
1/4/16,14:58:00,O ALL OTHERS,M,37,1 Moving Violation,1 No Search,2 Citation,SOUTH  SANSOME ST CALIFORNIA ST,A
1/4/16,15:11:00,W WHITE,M,54,2 Mechanical or Nonmoving Violation,1 No Search,2 Citation,NORTH  SANSOME ST PACIFIC ST,A
1/4/16,15:24:00,W WHITE,F,38,1 Moving Violation,1 No Search,2 Citation,NORTH  SANSOME ST LOMBARD ST,A
1/4/16,15:45:00,H HISPANIC,F,49,1 Moving Violation,1 No Search,2 Citation,NORTH  SANSOME ST LOMBARD ST,A
1/4/16,16:07:00,O ALL OTHERS,M,62,1 Moving Violation,1 No Search,2 Citation,NORTH  SANSOME ST LOMBARD ST,A
1/4/16,9:05:00,H HISPANIC,F,37,1 Moving Violation,1 No Search,2 Citation,WEST  BROOK ST At SAN JOSE AVE,H
1/4/16,11:18:00,H HISPANIC,M,49,1 Moving Violation,1 No Search,2 Citation,SOUTH  MISSION ST 390 feet N of TRUMBULL ST,H
1/4/16,11:06:00,H HISPANIC,M,19,1 Moving Violation,1 No Search,2 Citation,SOUTH  MISSION ST 600 feet N of TRUMBULL ST,H
1/5/16,16:03:00,W WHITE,M,54,1 Moving Violation,1 No Search,2 Citation,WB HARRISON ST BETWEEN 7TH ST AND 8TH ST 263 feet,B
1/5/16,16:14:00,H HISPANIC,F,33,1 Moving Violation,1 No Search,2 Citation,WB HARRISON ST BETWEEN 7TH ST AND 8TH ST 555 feet,B
1/5/16,16:42:00,O ALL OTHERS,F,44,1 Moving Violation,1 No Search,2 Citation,WB HARRISON ST BETWEEN 7TH ST AND 8TH ST 382 feet,B
1/5/16,17:10:00,H HISPANIC,M,31,1 Moving Violation,1 No Search,2 Citation,WB HARRISON ST BETWEEN 7TH ST AND 8TH ST 194 feet,B
1/5/16,17:27:00,B BLACK,M,27,1 Moving Violation,1 No Search,2 Citation,WB HARRISON ST AT 7TH ST 202 feet,B
1/5/16,17:36:00,O ALL OTHERS,M,40,2 Mechanical or Nonmoving Violation,"2 Search Without Consent, Positive Result",2 Citation,WB HARRISON ST AT 7TH ST,B
1/5/16,17:46:00,O ALL OTHERS,F,22,2 Mechanical or Nonmoving Violation,"2 Search Without Consent, Positive Result",2 Citation,HARRISON ST AT 8TH ST,B
1/5/16,17:52:00,W WHITE,F,43,1 Moving Violation,1 No Search,2 Citation,NB 9TH ST AT HARRISON ST,B
1/5/16,18:21:00,W WHITE,M,31,1 Moving Violation,1 No Search,2 Citation,NB BUCHANNAN TO WB FELL ST,E
1/5/16,18:07:00,O ALL OTHERS,M,22,1 Moving Violation,"2 Search Without Consent, Positive Result",2 Citation,NB VAN NESS AVE AT HAYES,E
1/5/16,15:57:00,W WHITE,M,30,1 Moving Violation,1 No Search,2 Citation,HARRISON 7TH ST,B
1/5/16,16:11:00,B BLACK,M,52,1 Moving Violation,1 No Search,2 Citation,HARRISON 7TH ST,B
1/5/16,16:22:00,A ASIAN,M,42,1 Moving Violation,1 No Search,2 Citation,HARRISON 7TH ST,B
1/5/16,16:40:00,O ALL OTHERS,M,63,1 Moving Violation,1 No Search,2 Citation,HARRISON 7TH ST,B
1/5/16,16:15:00,O ALL OTHERS,M,63,1 Moving Violation,1 No Search,2 Citation,SB 2ND ST. BRYANT,B
1/5/16,16:45:00,O ALL OTHERS,M,34,1 Moving Violation,1 No Search,2 Citation,SB 2ND ST. BRYANT,B
1/5/16,15:24:00,W WHITE,M,39,1 Moving Violation,1 No Search,2 Citation,EAST  BRYANT ST 2ND LN At 2ND ST,B
1/5/16,15:30:00,W WHITE,M,73,1 Moving Violation,1 No Search,2 Citation,EAST  BRYANT ST 2ND LN At 2ND ST,B
1/5/16,16:49:00,W WHITE,F,43,1 Moving Violation,1 No Search,2 Citation,SOUTH  2ND ST To E/B BRYANT ST,B
